name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adar Azrual,,,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,
Ikouwem Utin,,,,,,,,maccabi-haifa,ihud-bnei-sachnin,,
Jeando Fuchs,,,,,,,,maccabi-haifa,,,
Yuval Ashkenazi,,,,,,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa,ihud-bnei-sachnin
Tjaronn Chery,,,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Yanic Wildschut,,,,,,,,maccabi-haifa,maccabi-haifa,,
Suf Podgoreanu,,,,,,,,maccabi-haifa,,,maccabi-haifa
Stav Nachmani,,,,,,,,maccabi-haifa,maccabi-haifa,,hapoel-hadera
Bogdan Planic,,,,,,,,,maccabi-haifa,maccabi-haifa,
Ronny Laufer,,,,,,,,,maccabi-haifa,maccabi-haifa,
Saikou Touray,,,,,,,,sektzia-ness-ziona,maccabi-haifa,hapoel-haifa,
José Rodríguez,,,,,,maccabi-tel-aviv,,,maccabi-haifa,maccabi-haifa,
Omer Atzili,,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa
Timothy Muzie,,,,,,,,,maccabi-haifa,maccabi-haifa,ironi-kiryat-shmona
Godsway Donyoh,,,,,,,,,maccabi-haifa,maccabi-haifa,
Roee Fucs,,,,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa
Ihab Abu Alshech,,,,,,,,,maccabi-haifa,maccabi-netanya,
Nehoray Ifrah,,,,,,,,,maccabi-haifa,,
Itamar Israeli,,,,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,,,,maccabi-haifa,beitar-jerusalem
Ariel Bardugo,,,,,,,,,,maccabi-haifa,
Shon Goldberg,,,maccabi-tel-aviv,maccabi-tel-aviv,bnei-yehuda-tel-aviv,beitar-jerusalem,hapoel-haifa,hapoel-beer-sheva,hapoel-beer-sheva,maccabi-haifa,maccabi-haifa
Ryan Strain,,,,,,,,,,maccabi-haifa,
Dolev Bura,,,,,,,,,,maccabi-haifa,
Mavis Tchibota,,,maccabi-tel-aviv,,,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,,,maccabi-haifa,maccabi-haifa
Nevo Shedo,,,,,,,,,,maccabi-haifa,
Sapir Razon,,,,,,,,,,maccabi-haifa,
Roi Mishpati,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,,fc-ashdod,fc-ashdod,fc-ashdod,maccabi-haifa,maccabi-haifa
Ori Dahan,,,,,,,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona,maccabi-haifa,beitar-jerusalem
Mickaël Alphonse,,,,,,,,,,maccabi-haifa,
Roey Elimelech,,,,,,,,,,maccabi-haifa,
Ali Mohamed,,,,,maccabi-netanya,maccabi-netanya,maccabi-netanya,beitar-jerusalem,beitar-jerusalem,maccabi-haifa,maccabi-haifa
Mahmoud Jaber,,,,,,,,,,maccabi-haifa,maccabi-haifa
